DrugBank ID,drug_name,PX,ST_VIRUS,cleaned_smiles,scaffolds,clusters
,,8.67778,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)OC(CCc2ccccc2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,c1ccc(CCC2Oc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3-c3cc4cc(-c5cnc(C6CCCN6)[nH]5)ccc4n32)cc1,-1
,,8.67366,Filovirus,O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2cccc(OC(F)F)c2)[C@@H](Cc2ccccc2)C1,O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2ccccc2)C(Cc2ccccc2)C1,388
,NITD-008,8.67,Enterovirus,C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,c1ncc2ccn(C3CCCO3)c2n1,-1
,,8.66999,Hepatitis C virus,COC[C@H]1C[C@@H](c2ncc(-c3ccc(-c4ccc(-c5cnc([C@@H]6CC[C@H](C)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]5)cc4)cc3)[nH]2)N(C(=O)[C@@H](NC(=O)OC)C2CCOCC2)C1,O=C(CC1CCOCC1)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)cc2)[nH]1,-1
,,8.66959,Hepatitis C virus,COC[C@H]1C[C@@H](c2ncc(-c3ccc(-c4ccc(-c5cnc([C@@H]6CC[C@H](C)N6C(=O)[C@@H](NC(=O)OC)C6CCOCC6)[nH]5)cc4)cc3)[nH]2)N(C(=O)[C@@H](NC(=O)OC)C(C)C)C1,O=C(CC1CCOCC1)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)cc2)[nH]1,-1
,,8.66776,Influenza A virus,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(-c2ccco2)nc(-c2c[nH]c3ncc(F)cc23)n1,c1coc(-c2nc(NC3CC4CCC3CC4)nc(-c3c[nH]c4ncccc34)n2)c1,-1
,,8.66756,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c([C@H]3CCCN(S(=O)(=O)Cc4ccccc4)C3)cc12,O=S(=O)(Cc1ccccc1)N1CCCC(c2ccc3oc(-c4ccccc4)cc3c2)C1,389
,,8.66555,Filovirus,O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2cccc(OCCO)c2)[C@@H](Cc2ccccc2)C1,O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2ccccc2)C(Cc2ccccc2)C1,388
,,8.66,Respiratory syncytial virus,Cc1nocc1C(=O)N1CCN2C(=O)c3ccc(Cl)n3CC12c1ccc(Cl)cc1,O=C(c1cnoc1)N1CCN2C(=O)c3cccn3CC12c1ccccc1,-1
,,8.66,Respiratory syncytial virus,O=C(CCc1c(Cn2c(=O)n(C3CC3)c3ccncc32)nc2cc(Cl)ccn12)N1CCOCC1,O=C(CCc1c(Cn2c(=O)n(C3CC3)c3ccncc32)nc2ccccn12)N1CCOCC1,-1
,,8.65956,Influenza A virus,O=C(O)[C@@H]1[C@H]2CC[C@H](CC2)[C@H]1Nc1nc(-c2c[nH]c3c(F)cc(F)cc23)nc2c1ccn2CCF,c1ccc2c(-c3nc(NC4CC5CCC4CC5)c4cc[nH]c4n3)c[nH]c2c1,390
,,8.65758,Hepatitis C virus,CCN(c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC)c2cc1-c1cccc(C(=O)NC2(c3ncccn3)CC(OC(F)F)C2)c1)S(C)(=O)=O,O=C(NC1(c2ncccn2)CCC1)c1cccc(-c2ccc3oc(-c4ccccc4)cc3c2)c1,391
,,8.65758,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C#N)C4CC4)c3)cc12,O=C(NCC1CC1)c1cccc(-c2cnc3oc(-c4ccccc4)cc3c2)c1,373
,,8.65758,Hepatitis C virus,O=c1ncn(Cc2c(F)cc(F)cc2F)c2ccc(Oc3cccc(-c4cccc5[nH]ccc45)c3C(F)(F)F)cc12,O=c1ncn(Cc2ccccc2)c2ccc(Oc3cccc(-c4cccc5[nH]ccc45)c3)cc12,204
DB14850,Deleobuvir sodium,8.65758,Hepatitis C virus,Cn1c(C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Br)cn5)n(C)c4c3)CCC2)nc2ccc(/C=C/C(=O)O)cc21,O=C(NC1(c2nc3ccccc3[nH]2)CCC1)c1ccc2c(C3CCCC3)c(-c3ncccn3)[nH]c2c1,-1
,,8.65758,Influenza A virus,CCC(CC)O[C@@H]1C=C(S(=O)(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,C1=CCCCC1,-1
,,8.65758,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cc(F)cc(C(=O)NC(C)(C)C#N)c3)cc12,c1ccc(-c2cnc3oc(-c4ccccc4)cc3c2)cc1,-1
,,8.65699,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c([C@H]3CCCN(S(=O)(=O)Cc4cccc(F)c4)C3)cc12,O=S(=O)(Cc1ccccc1)N1CCCC(c2ccc3oc(-c4ccccc4)cc3c2)C1,389
,,8.6517,Hepatitis C virus,CCN(c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC)c2c(F)c1-c1cccc(C(=O)NC2(c3ncccn3)CC(OC(F)F)C2)c1)S(C)(=O)=O,O=C(NC1(c2ncccn2)CCC1)c1cccc(-c2ccc3oc(-c4ccccc4)cc3c2)c1,391
,4'-MethylBVDU,8.65,Varicella zoster virus,C[C@]1(CO)O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,-1
,,8.64975,Influenza A virus,Cn1ccc2c(N[C@@H]3[C@H]4CC[C@H](CC4)[C@H]3C(=O)O)nc(-c3c[nH]c4c(F)cc(F)cc34)nc21,c1ccc2c(-c3nc(NC4CC5CCC4CC5)c4cc[nH]c4n3)c[nH]c2c1,390
,,8.64782,Hepatitis C virus,CCN(c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC)c2c(F)c1-c1ccc(OC)c(C(=O)NC2(c3ncccn3)CC(F)C2)c1)S(C)(=O)=O,O=C(NC1(c2ncccn2)CCC1)c1cccc(-c2ccc3oc(-c4ccccc4)cc3c2)c1,-1
,,8.64,Cytomegalovirus,COc1c(N2C[C@H](C)N(CC(=O)O)[C@H](C)C2)c(F)cc2c(=O)c(C(=O)NCc3ccc(Cl)cc3Cl)cn(CC(F)(F)F)c12,O=C(NCc1ccccc1)c1c[nH]c2cc(N3CCNCC3)ccc2c1=O,392
,,8.64,Respiratory syncytial virus,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccncc32)nc2cc(CN)ccc21,O=C1N(Cc2nc3ccccc3[nH]2)c2cnccc2C12CC2,-1
,,8.64,Respiratory syncytial virus,Cc1nocc1C(=O)N1CCN2C(=O)c3ccc(C)n3CC12c1ccc(F)cc1,O=C(c1cnoc1)N1CCN2C(=O)c3cccn3CC12c1ccccc1,-1
,,8.64,Respiratory syncytial virus,O=C1N(Cc2nc3cc(Br)ccc3n2CCCCO)c2ccccc2C12CC2,O=C1N(Cc2nc3ccccc3[nH]2)c2ccccc2C12CC2,-1
,,8.63827,Hepatitis B virus,Cc1c(C(=O)Nc2ccc(F)c(F)c2)c2n(c1C(=O)C(=O)NC1(c3nncs3)CC(F)(F)C1)CCC2,O=C(NC1(c2nncs2)CCC1)C(=O)c1cc(C(=O)Nc2ccccc2)c2n1CCC2,394
,,8.63827,Hepatitis C virus,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)n3ccccc3c(Cc3ccc(F)cc3)c1=O)N2,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)cn2ccccc2c1Cc1ccccc1,393
,,8.63827,Hepatitis C virus,CCN1CCN(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,111
DB08936,Chlorcyclizine hydrochloride,8.63827,Hepatitis C virus,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,67
DB12531,SQ-33054,8.63827,Hepatitis B virus,Nc1nc2c(ncn2[C@@H]2C[C@H](CO)[C@H]2CO)c(=O)[nH]1,O=c1[nH]cnc2c1ncn2C1CCC1,-1
,,8.63827,Hepatitis C virus,CCN(c1cc2oc(-c3ccc(Oc4cccc(F)c4)cc3)c(C(=O)NC)c2cc1-c1cccc(C(=O)NC(C)(C)C)c1)S(C)(=O)=O,c1ccc(Oc2ccc(-c3cc4cc(-c5ccccc5)ccc4o3)cc2)cc1,-1
,,8.63827,Hepatitis C virus,O=C1NCCCOc2ccc(cc2)CNc2nc(nc(OCC(F)(F)F)n2)Nc2ccc1cc2,O=C1NCCCOc2ccc(cc2)CNc2ncnc(n2)Nc2ccc1cc2,-1
,,8.63827,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1[C@H](c2ncc(-c3ccc(-c4ccc(-c5[nH]c([C@@H]6C[C@H]7C[C@H]7N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5Cl)cc4)cc3)[nH]2)C[C@H]2C[C@H]21)C(C)C,c1cc(-c2cnc(C3CC4CC4N3)[nH]2)ccc1-c1ccc(-c2cnc(C3CC4CC4N3)[nH]2)cc1,-1
,,8.63827,Hepatitis C virus,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCC1)NC(=O)OCC(C)(C)C[C@@H]1C[C@@H]1c1cc3c(cc(OCC)nc3cc1OC)O2)C(=O)NS(=O)(=O)C1CC1,O=C1NC(C2CCCC2)C(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2ccnc3ccc(cc23)C2CC2CCCO1,-1
,,8.63827,Hepatitis C virus,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccc(C)cn3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,O=C(NCC(=O)N1CC(c2ccc(-c3ccccn3)cc2)CC1C(=O)NC1(C(=O)NS(=O)(=O)C2CC2)CC1)OC1CCCC1,-1
,,8.63639,Hepatitis C virus,CC[C@@H]1C[C@H](C)CC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](Oc3nc4cc(OC)ccc4nc3C3CC3)CN2C(=O)[C@H]1NC(=O)OC(C)(C)C(F)(F)F,O=C1NC2(C(=O)NS(=O)(=O)C3CC3)CC2C=CCCCCCCC(=O)N2CC(Oc3nc4ccccc4nc3C3CC3)CC12,259
DB13044,Gossypol,8.63565,Influenza A virus,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,68
,,8.63451,Hepatitis C virus,[2H]C([2H])([2H])Oc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,O=c1ccn(-c2cccc(-c3ccc4ccccc4c3)c2)c(=O)[nH]1,38
,,8.62342,Hepatitis C virus,O=C(Nc1ccc(-c2cnc(-c3ccc(NC(=O)[C@@H]4CCCN4C(=O)Cc4ccccc4)cc3)o2)cc1)[C@@H]1CCCN1C(=O)Cc1ccccc1,O=C(Nc1ccc(-c2cnc(-c3ccc(NC(=O)C4CCCN4C(=O)Cc4ccccc4)cc3)o2)cc1)C1CCCN1C(=O)Cc1ccccc1,395
,,8.62342,Hepatitis C virus,COCC[C@H](NC(=O)OC)C(=O)N1CCC[C@H]1c1nc(-c2cnc(-c3ncc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@H](CCOC)NC(=O)OC)n4)s3)s2)c[nH]1,c1[nH]c(C2CCCN2)nc1-c1cnc(-c2ncc(-c3c[nH]c(C4CCCN4)n3)s2)s1,-1
,,8.61979,Hepatitis B virus,Cc1c(C(=O)Nc2cc(F)c(F)c(F)c2)c2n(c1C(=O)C(=O)NC1(c3cnn[nH]3)CC(F)(F)C1)CCC2,O=C(NC1(c2cnn[nH]2)CCC1)C(=O)c1cc(C(=O)Nc2ccccc2)c2n1CCC2,396
,,8.61979,Hepatitis C virus,CNC(=O)c1c(-c2ccc(OC)nc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3C(CO)O4)cc12,c1cncc(-c2cc3cc(-c4ccc5c(n4)-c4cc6ccccc6n4CO5)ccc3o2)c1,368
,,8.61979,Hepatitis C virus,CCN(CC)S(=O)(=O)NC(=O)c1ccc2c(C3CCCCC3)c3n(c2c1)CC1(C(=O)N2C4CC2CN(C)C4)CC1c1cc(OC)ccc1-3,O=C(N1C2CNCC1C2)C12CC1c1ccccc1-c1c(C3CCCCC3)c3ccccc3n1C2,-1
,,8.61979,Hepatitis C virus,COc1ccc2c(c1)C1CC1(C(=O)N1C3CNCC1C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C3CC3)cc21,O=C(NS(=O)(=O)C1CC1)c1ccc2c(C3CCCCC3)c3n(c2c1)CC1(C(=O)N2C4CNCC2C4)CC1c1ccccc1-3,-1
,,8.61979,Hepatitis C virus,COc1ccc2c(c1)C1CC1(C(=O)N1C3CC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C3CCC3)cc21,O=C(NS(=O)(=O)C1CCC1)c1ccc2c(C3CCCCC3)c3n(c2c1)CC1(C(=O)N2C4CNCC2C4)CC1c1ccccc1-3,-1
,,8.61979,Hepatitis C virus,COc1ccc2c(c1)C1CC1(C(=O)N1C3CC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C3CCOCC3)cc21,O=C(NS(=O)(=O)C1CCOCC1)c1ccc2c(C3CCCCC3)c3n(c2c1)CC1(C(=O)N2C4CNCC2C4)CC1c1ccccc1-3,-1
,,8.61979,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2ccc(-c3ccc4cc(-c5cnc([C@@H]6C[C@@H]7CCCC[C@@H]7N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]5)ccc4c3)cc2[nH]1)C(C)C,c1cc2cc(-c3cnc(C4CC5CCCCC5N4)[nH]3)ccc2cc1-c1ccc2nc(C3CCCN3)[nH]c2c1,-1
,,8.61979,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CC2(C[C@H]1c1ncc(-c3ccc4cc(-c5ccc6nc([C@@H]7C[C@@H]8CCCC[C@@H]8N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c6c5)ccc4c3)[nH]1)OCCO2)C(C)C,c1cc2cc(-c3cnc(C4CC5(CN4)OCCO5)[nH]3)ccc2cc1-c1ccc2nc(C3CC4CCCCC4N3)[nH]c2c1,-1
,,8.61979,Hepatitis C virus,COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1CC3CC1CN3C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,O=C(N1CC2CC1CN2)C12CC1c1ccccc1-c1c(C3CCCCC3)c3ccccc3n1C2,-1
,,8.61618,Hepatitis C virus,CC1(C)CNC(=O)c2ccc(cc2)Nc2nc(nc(OCC(F)(F)F)n2)NCc2ccc(c(Cl)c2)OCCCN(C(=O)C(=O)Nc2ccc(F)cc2)C1,O=C(Nc1ccccc1)C(=O)N1CCCNC(=O)c2ccc(cc2)Nc2ncnc(n2)NCc2ccc(cc2)OCCC1,-1
,,8.60765,Hepatitis C virus,CNC(=O)C(=O)NC[C@H](NC(=O)c1ccc2cc1OCCCCCCOc1ccc(cc1)CNc1nc(nc(OCC(F)(F)F)n1)N2)C(=O)O,c1cc2cc(c1)OCCCCCCOc1ccc(cc1)CNc1ncnc(n1)N2,298
,,8.60206,Hepatitis C virus,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3ccccc3n(NC3CCC3)c1=O)N2,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)cc2ccccc2n1NC1CCC1,397
,,8.60206,Hepatitis B virus,Cc1c(C(=O)Nc2cc(F)c(F)c(F)c2)c2n(c1C(=O)C(=O)NC1(c3nncs3)CC(F)(F)C1)CCC2,O=C(NC1(c2nncs2)CCC1)C(=O)c1cc(C(=O)Nc2ccccc2)c2n1CCC2,394
,,8.60206,Hepatitis C virus,CCC1Oc2cc(-c3cnc([C@@H]4CC(F)(F)CN4C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]3)ccc2-c2c(F)c3cc(-c4cnc([C@@H]5CC(F)(F)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc3n21,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)OCn1c-2cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc21,203
,,8.60206,Hepatitis C virus,CC(C)CCn1cc(-c2ccco2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,O=c1[nH]cc(-c2ccco2)cc1C1=NS(=O)(=O)c2ccccc2N1,-1
,,8.60206,Hepatitis C virus,CS(=O)(=O)NCc1csc2c1S(=O)(=O)N=C(c1c(O)c3ccccc3n(NC3CCC3)c1=O)N2,O=c1c(C2=NS(=O)(=O)c3ccsc3N2)cc2ccccc2n1NC1CCC1,-1
,,8.60206,Hepatitis C virus,CS(=O)(=O)NCc1csc2c1S(=O)(=O)N=C(c1c(O)c3ccccc3n(NCC3CC3)c1=O)N2,O=c1c(C2=NS(=O)(=O)c3ccsc3N2)cc2ccccc2n1NCC1CC1,-1
,,8.60206,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3ccc(OC)c(C(=O)NC(C)(C)C#N)c3)cc12,c1ccc(-c2cnc3oc(-c4ccccc4)cc3c2)cc1,-1
,,8.60206,Hepatitis C virus,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(OCC)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](CC(=O)Nc1ccccc1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,O=C(CCC(=O)N1CC(Oc2ccnc3ccccc23)CC1C(=O)NC1(C(=O)NS(=O)(=O)C2CC2)CC1)Nc1ccccc1,-1
,,8.60206,Hepatitis C virus,CNC(=O)c1c(-c2ccc(C(F)F)nc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CO4)cc12,c1cncc(-c2cc3cc(-c4ccc5c(n4)-c4cc6ccccc6n4CO5)ccc3o2)c1,-1
,,8.60206,Hepatitis C virus,CNC(=O)c1c(-c2ccc(OC)nc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3nc5c(F)cccc5n3CO4)cc12,c1cncc(-c2cc3cc(-c4ccc5c(n4)-c4nc6ccccc6n4CO5)ccc3o2)c1,-1
,,8.60206,Hepatitis C virus,CNC(=O)c1c(-c2ccc(C(F)F)nc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3C(CO)O4)cc12,c1cncc(-c2cc3cc(-c4ccc5c(n4)-c4cc6ccccc6n4CO5)ccc3o2)c1,-1
,,8.6,Influenza A virus,COC(=O)C(c1ccccc1)N1CCN(C(=O)c2cccc(-c3nc4cc(OC5CC5)ccc4o3)c2)CC1,O=C(c1cccc(-c2nc3cc(OC4CC4)ccc3o2)c1)N1CCN(Cc2ccccc2)CC1,398
,,8.6,Hepatitis C virus,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4C(F)(F)F)c(=O)c3c2)cc1S(=O)(=O)Nc1ccc(F)cc1F,O=c1c2cc(-c3cncc(S(=O)(=O)Nc4ccccc4)c3)ccc2ncn1-c1ccccc1,-1
,,8.6,Dengue virus,C[C@@H](c1ccc(Cl)cc1)n1nnc2c1NC(=O)C[C@]21C(=O)Nc2ccc(Cl)cc21,O=C1CC2(C(=O)Nc3ccccc32)c2nnn(Cc3ccccc3)c2N1,-1
,,8.6,Rhinovirus,CNC(=O)c1cc(Oc2ccc(-c3noc(C(C)C)n3)cc2C)ccn1,c1cc(Oc2ccc(-c3ncon3)cc2)ccn1,-1
,,8.59688,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CC(F)(F)C[C@H]1c1ncc(-c2ccc3c(c2)cc2n3C(C3CC3)Oc3cc(-c4cnc([C@@H]5CC(F)(F)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)c(F)cc3-2)[nH]1)C(C)C,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)OC(C1CC1)n1c-2cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc21,-1
,,8.59551,Influenza A virus,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(-c2ccco2)nc(-c2n[nH]c3ncc(Cl)cc23)n1,c1coc(-c2nc(NC3CC4CCC3CC4)nc(-c3n[nH]c4ncccc34)n2)c1,-1
,,8.59517,Hepatitis B virus,O=C(O)c1cn2c(cc1=O)-c1cc(Cl)c(OCC3CC3)cc1OC2c1cscn1,O=c1ccn2c(c1)-c1ccc(OCC3CC3)cc1OC2c1cscn1,-1
,,8.59346,Hepatitis B virus,COCCCOc1cc2c(cc1OC)-c1cc(=O)c(C(=O)O)cn1[C@H](C(C)(C)C)CO2,O=c1ccn2c(c1)-c1ccccc1OCC2,-1
,,8.59091,Hepatitis C virus,COC[C@H]1C[C@@H](c2nc(Cl)c(-c3ccc(-c4ccc(-c5[nH]c([C@@H]6CC[C@H](C)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5Cl)cc4)cc3)[nH]2)N(C(=O)[C@@H](NC(=O)OC)C(C)C)C1,c1cc(-c2cnc(C3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cc1,362
,,8.59074,Hepatitis C virus,FCCCOc1ccc(-c2cc(Cn3cc4nc(-c5cccc(F)c5F)nc-4cn3)on2)c(C(F)(F)F)c1,c1ccc(-c2cc(Cn3cc4nc(-c5ccccc5)nc-4cn3)on2)cc1,367
,,8.59007,Hepatitis C virus,C[C@@H]1CC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2(C)CC2)NC(=O)[C@@H]2C[C@@H](Oc3nccc4c5c(ccc34)CCO5)CN2C(=O)[C@@H](NC(=O)OC(C)(C)C)[C@H](C)C1,O=C1NC2(C(=O)NS(=O)(=O)C3CC3)CC2C=CCCCCCCC(=O)N2CC(Oc3nccc4c5c(ccc34)CCO5)CC12,-1
,NITD-982,8.59,Dengue virus,COC(=O)c1c(-c2c(Cl)cccc2Cl)noc1-c1cnn(-c2cccc(Cl)c2)c1C(F)(F)F,c1ccc(-c2cc(-c3cnn(-c4ccccc4)c3)on2)cc1,-1
,,8.58503,Hepatitis B virus,Cc1c(C(=O)Nc2ccc(F)cc2)c2n(c1C(=O)C(=O)NC1(c3cnn[nH]3)CC(F)(F)C1)C[C@H]1C[C@@H]21,O=C(NC1(c2cnn[nH]2)CCC1)C(=O)c1cc(C(=O)Nc2ccccc2)c2n1CC1CC21,374
,,8.58503,Hepatitis C virus,CCC1Oc2cc(-c3cnc([C@@H]4CC(F)(F)CN4C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]3)ccc2-c2cc3cc(-c4cnc([C@@H]5CC(F)(F)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc3n21,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)OCn1c-2cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc21,264
,,8.58503,Hepatitis C virus,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3cscn3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,O=C(NCC(=O)N1CC(c2ccc(-c3cscn3)cc2)CC1C(=O)NC1(C(=O)NS(=O)(=O)C2CC2)CC1)OC1CCCC1,-1
,,8.58503,Hepatitis C virus,CC(C)C[C@H]1C(=O)N[C@@H](c2cccs2)CN1C(=O)c1noc(-c2ccc(F)cc2)n1,O=C1CN(C(=O)c2noc(-c3ccccc3)n2)CC(c2cccs2)N1,-1
,,8.58286,Hepatitis C virus,[2H]C1(S(=O)(=O)NC(=O)[C@@]2(NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]3C[C@H]3CCCCCc3nc5ccc(OC)cc5nc3O4)C[C@H]2C=C)CC1,O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3nc2CCCCCC2CC2O1,9
,,8.58,Respiratory syncytial virus,CN(C)C(=O)CCc1c(Cn2c(=O)n(C3CC3)c3ccncc32)nc2cc(Cl)ccn12,O=c1n(Cc2cn3ccccc3n2)c2cnccc2n1C1CC1,-1
,,8.58,Respiratory syncytial virus,N=C(CCCn1c(Cn2c(=O)n(C3CC3)c3ccncc32)cc2cc(Cl)ccc21)NO,O=c1n(Cc2cc3ccccc3[nH]2)c2cnccc2n1C1CC1,-1
,,8.57122,Hepatitis C virus,CN(C)C(=O)C(=O)N1CC2CN(C(=O)c3ccc(Nc4nc(NC5(c6ccc(Cl)cc6)CC5)nc(OCC(F)(F)F)n4)cc3)CC2C1,O=C(c1ccc(Nc2ncnc(NC3(c4ccccc4)CC3)n2)cc1)N1CC2CNCC2C1,207
,,8.57,Dengue virus,COc1cc(NC(C(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)c2ccc(Cl)cc2)cc(O[C@H]2C[C@@H](C(=O)O)C2)c1,O=C(C(Nc1cccc(OC2CCC2)c1)c1ccccc1)N1CCc2ccccc21,-1
,HAP-R-01,8.56864,Hepatitis B virus,COC(=O)C1=C(CN2CC(F)(F)C[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(F)cc1Cl,C1=C(CN2CCCC2)NC(c2nccs2)=NC1c1ccccc1,69
,SR-23275,8.56864,Influenza A virus,COc1ccc(C2NC(=O)NC3=C2CN(C(=O)CO)c2ccccc23)cc1Br,O=C1NC2=C(CNc3ccccc32)C(c2ccccc2)N1,55
,,8.55689,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c([C@H]3CCCN(S(=O)(=O)Cc4ccc(F)c(F)c4)C3)cc12,O=S(=O)(Cc1ccccc1)N1CCCC(c2ccc3oc(-c4ccccc4)cc3c2)C1,389
,,8.55284,Hepatitis C virus,CC(C)S(=O)(=O)CCNC(=O)c1ccc2[nH]c3c(c2c1)C1(CCC1)Cc1c[nH]nc1-3,c1ccc2c3c([nH]c2c1)-c1n[nH]cc1CC31CCC1,-1
